Src IP,Dst IP,Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow IAT Mean,Flow IAT Std,Flow Pkts/s,Attack,src_betweenness,dst_betweenness,src_pagerank,dst_pagerank,src_degree,dst_degree,src_closeness,dst_closeness,src_eigenvector,dst_eigenvector,src_k_core,dst_k_core,src_modularity,dst_modularity
192.168.1.0,10.0.0.0,34599,84,UDP,70511,1,82,10213,1781,14.639524317726416,0.11365207229331875,3.603251338543572,Benign,0.41728357679186656,0.11482872276655143,0.8399463666187297,0.6331613135993359,0.7146441287747364,0.12717027228775712,0.6727420198629352,0.6397660615039171,0.5684617376368968,0.27769127238488067,0.9331551415009974,0.348478314716393,0.15876186301105233,0.907470734613105
192.168.1.1,10.0.0.1,40959,880,UDP,48921,39,18,6994,8771,92.88973803501152,0.6498044294442329,813.1220491925359,WebAttack,0.12833765707938272,0.3488390191382871,0.7326408851636432,0.44870692733332473,0.8953545913373592,0.9114243538254181,0.0653486512615562,0.9269936493409262,0.716712845913084,0.805814365441073,0.5685641305461797,0.05989463943453066,0.47080068193476143,0.6010579216333801
192.168.1.2,10.0.0.2,29268,929,TCP,54594,91,98,13576,6141,83.74497285535364,3.2919171489600805,684.0344877345474,WebAttack,0.0336253082659661,0.96710420090115,0.2047433186256069,0.21507619481745677,0.152382547332798,0.02738255991670835,0.760816114395936,0.553763358373996,0.5719327802255824,0.911765719285182,0.6210781807104577,0.7369147104044631,0.3203991431616965,0.46870212590050764
192.168.1.3,10.0.0.3,11200,582,TCP,22570,19,82,8981,8133,4.673883029544665,9.73237965618614,219.98479427609513,Benign,0.012387777153366364,0.9943210334435828,0.8068862583209985,0.8663901277929074,0.5390318626120457,0.4204817642764641,0.9469694020751682,0.11615450180228726,0.9912633103085096,0.2976734233263868,0.5618747141095348,0.4306826679370592,0.5652683560118308,0.6485267276191813
192.168.1.4,10.0.0.4,28988,304,TCP,27298,72,85,14712,14011,32.605976135616196,7.085585295467276,99.60753380223046,Benign,0.4679323052514709,0.8308634953590852,0.5922411125100547,0.6891441332235984,0.07631284727571086,0.3061459556357734,0.18412828651662294,0.39491534006705553,0.9782007553675928,0.07236872484522294,0.08835838024902076,0.371036318191706,0.8803307932792278,0.2639387084403405
192.168.1.5,10.0.0.5,15176,379,TCP,46562,31,13,2846,11378,65.86896510602831,0.036521763517651795,24.254939691374414,WebAttack,0.5953433943752915,0.7735680119544129,0.0209869087834611,0.05802718658721673,0.4042536317762736,0.3453095882253542,0.1470024014875978,0.9940185140616816,0.4930261802148742,0.9220834426542489,0.10235967126681245,0.20288228599005775,0.514909818372481,0.7431050857091503
192.168.1.6,10.0.0.6,36585,546,TCP,68394,8,38,501,6924,14.881733434846867,7.642554576918493,958.4889490565203,Benign,0.7116412934114085,0.1908729211679332,0.8666216592599196,0.17595535173355892,0.6916195088591253,0.5255135331757459,0.7350824917498046,0.6198139592965088,0.3353834960825868,0.35360519053901585,0.37390819963913213,0.39960847180133774,0.9248659963165297,0.17317190281881245
192.168.1.7,10.0.0.7,43517,340,UDP,47996,43,96,6472,1640,63.163266970035195,4.346348946922797,617.8462559693892,Benign,0.5667714769091927,0.32963357406689153,0.7106261209406254,0.9762066585715222,0.0771141277142725,0.8072448502042947,0.3137617220636142,0.9898319615119278,0.6519805966956984,0.3128133768157245,0.5523775165880546,0.8144683903512638,0.6816730115628329,0.2718658893875817
192.168.1.8,10.0.0.8,46537,52,UDP,28376,47,29,3808,7575,36.680992953757375,1.8343858358970577,405.65246902492316,PortScan,0.2884837323551852,0.8332482931825744,0.22268965995890466,0.8387192385815904,0.1876789784510804,0.6133860758252709,0.046556963871919654,0.21972857832207693,0.36567109339046744,0.673188878464833,0.111144479135873,0.7685318702963715,0.8044889540801202,0.6798752789086513
192.168.1.9,10.0.0.9,17647,1014,UDP,71022,28,10,1631,11324,46.53173709452372,1.3160112753630793,464.4388246182553,PortScan,0.9192041271052824,0.7408927848985878,0.5695255241019807,0.05520925134564347,0.25790961981872706,0.6425447808833922,0.7419493251208708,0.394021368541141,0.7563253531617937,0.5349123956506361,0.5724095816292917,0.06437999057961719,0.5532773687266098,0.2520983063625182
192.168.1.10,10.0.0.10,41498,223,UDP,83467,55,33,7951,7149,90.30990757292766,5.837521429954888,761.2533183630104,Benign,0.945988260228237,0.6853041663476311,0.2523416782014659,0.9766262254199954,0.13266565275597186,0.43411742910842466,0.9925181013034631,0.6326228316111412,0.8939153240270679,0.041460053466571334,0.04430166896079912,0.3618139867812117,0.9278902006145759,0.9466877675560252
192.168.1.11,10.0.0.11,17385,208,TCP,28206,52,46,12602,11814,99.16141425041508,9.623396920499852,2.4408214487333333,Benign,0.09585188327845906,0.7759229331966836,0.014036832547800304,0.9490705843491836,0.21412620671926363,0.5366199865735735,0.8967653655037603,0.19821816310728524,0.5071293762246423,0.5830271566643346,0.03590328585305047,0.14320665982694913,0.05796049943441861,0.996554139045744
192.168.1.12,10.0.0.12,32553,488,TCP,8612,52,20,7921,13156,80.55668479052224,6.727778086083445,645.5096875831355,Benign,0.9002733845643501,0.6758933489153585,0.04386164649640967,0.6384567985867047,0.558435031154629,0.4632014980260888,0.6413271653790804,0.4434180290319879,0.5004245123304423,0.8365214373476881,0.4711272092698737,0.27037445065991195,0.32130623556656157,0.16271861270922028
